Category,Type,TopicID,Name,Volumes,Color
1E,Astronomy,2,Stellar Life Cycles,10,"radial-gradient(circle, #dcdde1, #7f8c8d, #2c3e50)"
1E,Astronomy,3,Galactic Clustering,10,"repeating-linear-gradient(45deg, #95a5a6, #95a5a6 10px, #5d6d7e 10px, #5d6d7e 20px)"
1E,Astronomy,4,Cosmological Constants,10,"repeating-radial-gradient(circle, #7f8c8d, #7f8c8d 5px, #1a252f 5px, #1a252f 12px)"
2F,Bengali,1,Bengali Grammar Patterns,10,"linear-gradient(135deg, #ff00ff, #660066)"
2F,Bengali,2,Classic Literary Prose,10,"radial-gradient(circle, #f8a5c2, #ee00ee, #4a004a)"
2F,Bengali,3,Modern Poetry Anthology,10,"repeating-linear-gradient(45deg, #ff11ff, #ff11ff 10px, #aa00aa 10px, #aa00aa 20px)"
2F,Bengali,4,Cultural Drama Essays,10,"repeating-radial-gradient(circle, #ee11ee, #ee11ee 5px, #6c3483 5px, #6c3483 12px)"
1F,Engineering,1,Structural Integrity,10,"linear-gradient(135deg, #27ae60, #0e3a1d)"
1F,Engineering,2,Thermodynamic Flow,10,"radial-gradient(circle, #a3cb38, #2ecc71, #062310)"
1F,Engineering,3,Digital Logic Design,10,"repeating-linear-gradient(45deg, #27ae60, #27ae60 10px, #196f3d 10px, #196f3d 20px)"
1F,Engineering,4,Fluid Dynamics Systems,10,"repeating-radial-gradient(circle, #2ecc71, #2ecc71 5px, #145a32 5px, #145a32 12px)"
